user,time,pattern
545,M,"(6, 5)"
545,M,"(29, 50)"
545,M,"(7, 8)"
545,M,"(9, 5)"
545,M,"(35, 7)"
545,M,"(7, 7)"
545,M,"(13, 11)"
545,M,"(14, 26)"
545,M,"(6, 4)"
545,M,"(16, 14)"
545,M,"(5, 2)"
545,M,"(2, 3)"
545,M,"(4, 24)"
545,M,"(5, 5)"
545,M,"(62, 40)"
545,M,"(5, 4)"
545,M,"(8, 1)"
545,M,"(14, 23)"
545,M,"(8, 4)"
545,M,"(5, 10)"
545,M,"(12, 13)"
545,M,"(38, 44)"
545,M,"(9, 8)"
545,M,"(12, 22)"
545,M,"(18, 11)"
545,M,"(15, 9)"
545,M,"(9, 8)"
545,M,"(37, 40)"
545,M,"(5, 7)"
545,M,"(1, 7)"
545,M,"(6, 11)"
545,M,"(4, 12)"
545,M,"(7, 5)"
545,M,"(8, 6)"
545,M,"(6, 8)"
545,M,"(7, 8)"
545,M,"(10, 37)"
545,M,"(2, 6)"
545,M,"(9, 3)"
545,M,"(7, 9)"
545,M,"(5, 8)"
545,M,"(7, 3)"
545,M,"(6, 5)"
545,M,"(10, 8)"
545,M,"(3, 8)"
545,A,"(9, 7)"
545,A,"(4, 0)"
545,A,"(8, 3)"
545,A,"(6, 1)"
545,A,"(4, 24)"
545,A,"(11, 4)"
545,A,"(6, 3)"
545,A,"(3, 6)"
545,A,"(2, 6)"
545,A,"(52, 12)"
545,A,"(6, 5)"
545,A,"(9, 1)"
545,A,"(1, 11)"
545,A,"(3, 6)"
545,A,"(6, 4)"
545,A,"(9, 5)"
545,A,"(5, 21)"
545,A,"(3, 17)"
545,A,"(4, 6)"
545,A,"(22, 21)"
545,A,"(1, 7)"
545,A,"(8, 9)"
545,A,"(5, 13)"
545,A,"(4, 5)"
545,A,"(11, 6)"
545,A,"(4, 7)"
545,A,"(5, 55)"
545,A,"(11, 4)"
545,A,"(12, 4)"
545,A,"(5, 6)"
545,A,"(5, 8)"
545,A,"(9, 10)"
545,A,"(17, 7)"
545,A,"(43, 15)"
545,A,"(13, 22)"
545,A,"(2, 2)"
545,A,"(34, 7)"
545,A,"(7, 7)"
545,A,"(6, 8)"
545,A,"(12, 14)"
545,E,"(7, 6)"
545,E,"(7, 7)"
545,E,"(10, 12)"
2823,M,"(22, 34)"
2823,M,"(26, 38)"
2823,M,"(10, 36)"
2823,M,"(7, 51)"
2823,M,"(2, 37)"
2823,M,"(19, 34)"
2823,M,"(33, 41)"
2823,M,"(25, 35)"
2823,M,"(28, 30)"
2823,M,"(21, 39)"
2823,M,"(24, 31)"
2823,M,"(34, 10)"
2823,M,"(5, 32)"
2823,M,"(25, 36)"
2823,M,"(13, 38)"
2823,M,"(21, 36)"
2823,M,"(21, 35)"
2823,M,"(11, 32)"
2823,M,"(22, 34)"
2823,M,"(8, 27)"
2823,M,"(32, 40)"
2823,M,"(24, 37)"
2823,M,"(9, 39)"
2823,M,"(16, 38)"
2823,M,"(5, 16)"
2823,M,"(31, 49)"
2823,M,"(23, 22)"
2823,M,"(18, 31)"
2823,A,"(27, 45)"
2823,A,"(16, 50)"
2823,A,"(10, 15)"
2823,A,"(17, 53)"
2823,A,"(19, 39)"
2823,A,"(20, 41)"
2823,A,"(23, 44)"
2823,A,"(20, 28)"
2823,E,"(4, 39)"
2823,E,"(21, 33)"
2823,E,"(34, 36)"
2823,E,"(21, 33)"
2823,E,"(22, 28)"
2823,E,"(22, 40)"
3423,M,"(37, 3)"
3423,M,"(46, 29)"
3423,M,"(28, 17)"
3423,M,"(31, 24)"
3423,M,"(40, 16)"
3423,M,"(24, 26)"
3423,M,"(31, 20)"
3423,M,"(43, 31)"
3423,M,"(32, 24)"
3423,M,"(4, 23)"
3423,M,"(51, 19)"
3423,M,"(34, 23)"
3423,M,"(33, 26)"
3423,M,"(19, 52)"
3423,M,"(41, 47)"
3423,M,"(6, 29)"
3423,M,"(28, 17)"
3423,M,"(35, 8)"
3423,M,"(41, 37)"
3423,M,"(35, 23)"
3423,M,"(34, 27)"
3423,M,"(36, 21)"
3423,M,"(29, 16)"
3423,M,"(33, 24)"
3423,M,"(39, 19)"
3423,M,"(34, 22)"
3423,M,"(20, 34)"
3423,M,"(28, 19)"
3423,M,"(41, 37)"
3423,M,"(36, 20)"
3423,M,"(34, 23)"
3423,M,"(16, 19)"
3423,M,"(34, 18)"
3423,M,"(50, 19)"
